#lambda	mu	r	time
0.150000	0.400000	0.000375	4.000000
0.150000	0.400000	0.000500	4.000000
0.160000	0.400000	0.000250	3.000000
0.170000	0.400000	0.000125	2.000000
0.170000	0.400000	0.000125	2.000000
0.170000	0.400000	0.000125	2.000000
0.170000	0.400000	0.000125	2.000000
0.170000	0.400000	0.000125	2.000000
0.180000	0.400000	0.000125	2.000000
0.180000	0.400000	0.000250	3.000000
0.180000	0.400000	0.000125	2.000000
0.180000	0.400000	0.000125	2.000000
0.180000	0.400000	0.000125	2.000000
0.190000	0.400000	0.013875	37.000000
0.200000	0.400000	0.000250	3.000000
0.200000	0.400000	0.002375	14.000000
0.210000	0.400000	0.000125	2.000000
0.210000	0.400000	0.651000	59.000000
0.230000	0.400000	0.000625	5.000000
0.230000	0.400000	0.675250	42.000000
0.230000	0.400000	0.000125	2.000000
0.230000	0.400000	0.000625	5.000000
0.240000	0.400000	0.689500	52.000000
0.220000	0.400000	0.000250	3.000000
0.220000	0.400000	0.000125	2.000000
0.220000	0.400000	0.000750	5.000000
0.220000	0.400000	0.657875	61.000000
0.230000	0.400000	0.003375	14.000000
0.240000	0.400000	0.000125	2.000000
0.250000	0.400000	0.679125	43.000000
0.190000	0.400000	0.000250	3.000000
0.200000	0.400000	0.000375	4.000000
0.200000	0.400000	0.000125	2.000000
0.200000	0.400000	0.000250	3.000000
0.200000	0.400000	0.000500	3.000000
0.210000	0.400000	0.000250	3.000000
0.210000	0.400000	0.002000	8.000000
0.210000	0.400000	0.001250	7.000000
0.210000	0.400000	0.002125	10.000000
0.220000	0.400000	0.664375	52.000000
0.230000	0.400000	0.676000	52.000000
0.250000	0.400000	0.000125	2.000000
0.250000	0.400000	0.700375	43.000000
0.150000	0.400000	0.000375	3.000000
0.150000	0.400000	0.000125	2.000000
0.150000	0.400000	0.000875	6.000000
0.250000	0.400000	0.697750	44.000000
0.230000	0.400000	0.008000	17.000000
0.230000	0.400000	0.660750	53.000000
0.250000	0.400000	0.697125	53.000000
0.150000	0.400000	0.000250	3.000000
0.150000	0.400000	0.000125	2.000000
0.150000	0.400000	0.000125	2.000000
0.150000	0.400000	0.000375	4.000000
0.150000	0.400000	0.000125	2.000000
0.160000	0.400000	0.000375	4.000000
0.160000	0.400000	0.001625	8.000000
0.160000	0.400000	0.000125	2.000000
0.160000	0.400000	0.000375	4.000000
0.160000	0.400000	0.000250	3.000000
0.160000	0.400000	0.000250	3.000000
0.160000	0.400000	0.000500	4.000000
0.160000	0.400000	0.000625	4.000000
0.160000	0.400000	0.000125	2.000000
0.170000	0.400000	0.000750	6.000000
0.170000	0.400000	0.000250	3.000000
0.170000	0.400000	0.000250	3.000000
0.170000	0.400000	0.001000	7.000000
0.170000	0.400000	0.001125	6.000000
0.180000	0.400000	0.000125	2.000000
0.180000	0.400000	0.000375	4.000000
0.180000	0.400000	0.000125	2.000000
0.180000	0.400000	0.000500	4.000000
0.180000	0.400000	0.000375	4.000000
0.190000	0.400000	0.000750	4.000000
0.190000	0.400000	0.000250	3.000000
0.190000	0.400000	0.000125	2.000000
0.190000	0.400000	0.000625	5.000000
0.190000	0.400000	0.000250	3.000000
0.190000	0.400000	0.000250	3.000000
0.190000	0.400000	0.000375	3.000000
0.190000	0.400000	0.000875	6.000000
0.200000	0.400000	0.001500	7.000000
0.200000	0.400000	0.003000	13.000000
0.200000	0.400000	0.000125	2.000000
0.200000	0.400000	0.002125	9.000000
0.210000	0.400000	0.002500	12.000000
0.210000	0.400000	0.000125	2.000000
0.210000	0.400000	0.000500	5.000000
0.210000	0.400000	0.000250	3.000000
0.220000	0.400000	0.000125	2.000000
0.220000	0.400000	0.656500	49.000000
0.230000	0.400000	0.655500	49.000000
0.240000	0.400000	0.000125	2.000000
0.240000	0.400000	0.698375	43.000000
0.220000	0.400000	0.000125	2.000000
0.220000	0.400000	0.000375	3.000000
0.220000	0.400000	0.000125	2.000000
0.230000	0.400000	0.681125	57.000000
0.240000	0.400000	0.000750	7.000000
0.240000	0.400000	0.000875	6.000000
0.240000	0.400000	0.000125	2.000000
0.240000	0.400000	0.000250	3.000000
0.240000	0.400000	0.000125	2.000000
0.240000	0.400000	0.000125	2.000000
0.250000	0.400000	0.000125	2.000000
0.250000	0.400000	0.000125	2.000000
0.250000	0.400000	0.000125	2.000000
0.250000	0.400000	0.002500	11.000000
0.250000	0.400000	0.680875	52.000000
